feature,importance
early_within_window_slope,0.23143181012245911
momentum_clicks_4v8,0.09845848582105736
momentum_position_4v8,0.06747696260007188
ctr_gap_vs_expected,0.06220487595288877
recent_avg_position,0.055745593167760135
recent_avg_impressions,0.05563654150551088
recent_avg_ctr,0.0554104018496529
days_since_update,0.053261893336293525
publish_age_days,0.05151707854698766
volatility_clicks,0.05076866413924451
word_count,0.0499992636949025
recent_avg_clicks,0.048237340805987766
engagement_rate,0.047428237116320125
internal_links,0.04021467664435276
content_type_blog,0.00625949272677404
has_schema_markup_True,0.00607790427376583
has_schema_markup_False,0.0058245465503261595
content_type_guide,0.004992477669837654
content_type_product,0.004686745948162912
content_type_landing,0.004367007527643549
